Sentence,Action,Room,Object
navigate by the orange from the sitting room,go,living room,orange
place a soda near the bath,store,bathroom,soda
identify some crackers,find,unknown,crackers
find the banana in the bath,find,bathroom,banana
proceed toward the beverage inside the living room,go,living room,beverage
find some chips near the bathroom,find,bathroom,chips
retrieve the cookies,get,unknown,cookies
clear away a soda,store,unknown,soda
find a chips by the bath,find,bathroom,chips
take the cookies in the bath,store,bathroom,cookies
proceed towards the soda,go,unknown,soda
search for a soda near the bath,find,bathroom,soda
navigate over to the orange inside the bath,go,bathroom,orange
move over by the bedroom,go,bedroom,unknown
head by the chips around the parlor,go,living room,chips
throw away the water around the pantry,store,kitchen,water
clean the water by the canteen,store,kitchen,water
fetch the crackers near the my room,get,bedroom,crackers
bring me the object around the bathroom,get,bathroom,unknown
look for the apple near the kitchen,find,kitchen,apple
find a banana in the canteen,find,kitchen,banana
locate some item from the bathroom,find,bathroom,unknown
go over to the kitchen,go,kitchen,unknown
store the soda,store,unknown,soda
take an orange,store,unknown,orange
navigate to the water,go,unknown,water
place the item near the parlor,store,living room,unknown
drive toward the beverage inside the bathroom,go,bathroom,beverage
head by the bedroom,go,bedroom,unknown
identify the soda by the kitchen,find,kitchen,soda
throw away the beverage by the bath,store,bathroom,beverage
put away the beverage from the pantry,store,kitchen,beverage
clean the thing from the my room,store,bedroom,unknown
throw away the item inside the my room,store,bedroom,unknown
locate some item near the bathroom,find,bathroom,unknown
drive near the water from the bathroom,go,bathroom,water
locate the orange by the kitchen,find,kitchen,orange
locate an orange inside the pantry,find,kitchen,orange
proceed to the chips close to the living room,go,living room,chips
search for the crackers from the bedroom,find,bedroom,crackers
head toward the beverage near the living room,go,living room,beverage
identify the cookies inside the bathroom,find,bathroom,cookies
pick up an item near the kitchen,get,kitchen,unknown
look for some apple in the bath,find,bathroom,apple
find me an object in the bath,find,bathroom,unknown
clean the item inside the canteen,store,kitchen,unknown
tidy up a water in the bathroom,store,bathroom,water
drive toward the cookies close to the kitchen,go,kitchen,cookies
head near the cookies,go,unknown,cookies
look for some item close to the parlor,find,living room,unknown
place a crackers around the kitchen,store,kitchen,crackers
navigate to the water from the bathroom,go,bathroom,water
go over by the kitchen,go,kitchen,unknown
throw out the chips,store,unknown,chips
put away the orange,store,unknown,orange
locate the banana near the bedroom,find,bedroom,banana
find some orange,find,unknown,orange
proceed toward the apple around the living room,go,living room,apple
identify a beverage close to the living room,find,living room,beverage
identify some object by the kitchen,find,kitchen,unknown
locate some cookies inside the bedroom,find,bedroom,cookies
grab the banana in the my room,get,bedroom,banana
find an apple,find,unknown,apple
get me some beverage around the living room,get,living room,beverage
fetch an orange from the my room,get,bedroom,orange
clear away a crackers,store,unknown,crackers
identify a banana,find,unknown,banana
navigate towards the bathroom,go,bathroom,unknown
look for a water,find,unknown,water
drive over to the bathroom,go,bathroom,unknown
head by the cookies close to the my room,go,bedroom,cookies
get a banana from the parlor,get,living room,banana
bring the crackers,get,unknown,crackers
proceed towards the bedroom,go,bedroom,unknown
store the item by the pantry,store,kitchen,unknown
search for some crackers by the kitchen,find,kitchen,crackers
grab me a soda from the kitchen,get,kitchen,soda
clean up the beverage close to the sitting room,store,living room,beverage
search for some apple inside the living room,find,living room,apple
search for the water in the my room,find,bedroom,water
tidy an apple in the kitchen,store,kitchen,apple
bring me some chips close to the parlor,get,living room,chips
move over to the cookies in the bathroom,go,bathroom,cookies
clean up the object near the bathroom,store,bathroom,unknown
move over by the chips close to the bathroom,go,bathroom,chips
throw away the beverage from the my room,store,bedroom,beverage
go by the banana inside the kitchen,go,kitchen,banana
navigate to the crackers in the my room,go,bedroom,crackers
search for a cookies around the kitchen,find,kitchen,cookies
grab some orange by the living room,get,living room,orange
put away a banana from the bath,store,bathroom,banana
find the crackers,find,unknown,crackers
retrieve the banana around the bath,get,bathroom,banana
bring some cookies near the bath,get,bathroom,cookies
store the apple,store,unknown,apple
grab the chips near the kitchen,get,kitchen,chips
retrieve some soda close to the bathroom,get,bathroom,soda
put away a water from the pantry,store,kitchen,water
retrieve some soda close to the canteen,get,kitchen,soda
clear a beverage,store,unknown,beverage
go by the beverage by the my room,go,bedroom,beverage
fetch the cookies in the bedroom,get,bedroom,cookies
get a water inside the my room,get,bedroom,water
navigate towards the sitting room,go,living room,unknown
fetch me the water,get,unknown,water
identify a chips by the bathroom,find,bathroom,chips
bring a chips close to the my room,get,bedroom,chips
look for a water,find,unknown,water
move near the apple,go,unknown,apple
clean up a thing around the bath,store,bathroom,unknown
place an apple from the my room,store,bedroom,apple
find me a soda inside the my room,find,bedroom,soda
identify the banana inside the bath,find,bathroom,banana
