Sentence,Action,Room,Object
clear away a soda by the bath,place,bathroom,soda
head over to the water close to the my room,go,bedroom,water
where are the thing in the parlor,question,living room,unknown
present everything you see orange in the pantry,describe,kitchen,orange
search for the apple close to the bath,get,bathroom,apple
explain everything you see crackers in the pantry,describe,kitchen,crackers
would you do crackers by the bath,question,bathroom,crackers
throw away a crackers inside the bathroom,place,bathroom,crackers
could are the cookies,question,unknown,cookies
proceed to the soda by the bathroom,go,bathroom,soda
move over by the soda by the bath,go,bathroom,soda
clean up the thing in the bathroom,place,bathroom,unknown
place a crackers in the bedroom,place,bedroom,crackers
bring me some beverage inside the sitting room,get,living room,beverage
locate some orange inside the pantry,get,kitchen,orange
go over to the crackers inside the living room,go,living room,crackers
go by the corn,go,unknown,corn
proceed to the chips near the sitting room,go,living room,chips
retrieve an orange near the bedroom,get,bedroom,orange
how is the orange in the parlor,question,living room,orange
place a banana near the my room,place,bedroom,banana
where you tell cookies around the pantry,question,kitchen,cookies
what is you tell banana close to the my room,question,bedroom,banana
tell every detail soda in the bedroom,describe,bedroom,soda
clean up the crackers,place,unknown,crackers
report what's there peas,describe,unknown,peas
express in details tomato,describe,unknown,tomato
look for the orange,get,unknown,orange
move by the water by the my room,go,bedroom,water
present what you see beverage near the my room,describe,bedroom,beverage
throw out an item near the my room,place,bedroom,unknown
tell what you see peas near the bath,describe,bathroom,peas
what are is the object around the bedroom,question,bedroom,unknown
proceed near the soda close to the bedroom,go,bedroom,soda
clear away the chips from the parlor,place,living room,chips
how you do item near the bath,question,bathroom,unknown
where you tell crackers inside the my room,question,bedroom,crackers
put back the banana around the parlor,place,living room,banana
answer are the object inside the bedroom,question,bedroom,unknown
explain everything you see tuna from the bath,describe,bathroom,tuna
could is the object close to the living room,question,living room,unknown
drive towards the beverage by the bedroom,go,bedroom,beverage
clear the orange near the living room,place,living room,orange
would you do carrots close to the living room,question,living room,carrots
go to the parlor,go,living room,unknown
tidy up the tuna around the living room,place,living room,tuna
fetch me a peas from the bathroom,get,bathroom,peas
locate some item around the sitting room,get,living room,unknown
answer is the peas close to the living room,question,living room,peas
could you do banana in the pantry,question,kitchen,banana
